ID,Datum,Locatie,Type,Soort,Bewolking,Neerslag,Temperatuur,Opmerkingen,,,,,,,,,,,,,,,,,,,
1,2021-04-26,De Luysen,Dag,Vogels,0%,0%,10,,,,,,,,,,,,,,,,,,,,
2,2021-04-30,De Luysen,Ochtend,Vogels,90%,0%,2,,,,,,,,,,,,,,,,,,,,
3,2021-05-05,Sint-Laureins,Dag,Vogels,20%,0%,7,,,,,,,,,,,,,,,,,,,,
4,2021-05-03,De Luysen,Ochtend,Vogels,30%,0%,2,,,,,,,,,,,,,,,,,,,,
5,2021-05-03,De Luysen,Dag,Vogels,10%,0%,8,Winderig,,,,,,,,,,,,,,,,,,,
6,2021-05-10,Sint-Laureins,Dag,Vogels,50%,0%,19,Winderig,,,,,,,,,,,,,,,,,,,
7,2021-05-12,Sint-Laureins,Ochtend,Vogels,50%,0%,7,,,,,,,,,,,,,,,,,,,,
8,2021-05-14,Sint-Laureins,Ochtend,Vogels,10%,0%,5,,,,,,,,,,,,,,,,,,,,
9,2021-05-17,Sint-Laureins,Ochtend,Vogels,100%,0%,10,,,,,,,,,,,,,,,,,,,,
10,2021-05-06,De Luysen,Ochtend,Vogels,50%,0%,5,No experienced birder present,,,,,,,,,,,,,,,,,,,
11,2021-06-04,Sint-Laureins,,Libellen,100%,0%,23,Winderig,,,,,,,,,,,,,,,,,,,
12,2021-06-02,De Luysen,,Libellen,0%,0%,27,,,,,,,,,,,,,,,,,,,,
13,2021-06-16,De Luysen,,Libellen,0%,0%,25,,,,,,,,,,,,,,,,,,,,
14,2021-06-24,De Luysen,,Libellen,80%,0%,18,Windy at times,,,,,,,,,,,,,,,,,,,
15,2021-07-02,Sint-Laureins,,Libellen,50%,0%,18,,,,,,,,,,,,,,,,,,,,