Locatie,Transect,Stop,Long,Lat,
De Luysen,1,PQ1,5.665017,51.178351,
De Luysen,1,PQ1,,,
De Luysen,1,PQ1,,,
De Luysen,1,PQ1,,,
De Luysen,1,PQ2,5.666386,51.177508,
De Luysen,1,PQ2,,,
De Luysen,1,PQ2,,,
De Luysen,1,PQ2,,,
De Luysen,1,PQ3,5.668929,51.180518,
De Luysen,1,PQ3,,,
De Luysen,1,PQ3,,,
De Luysen,1,PQ3,,,
De Luysen,1,PQ4,5.667575,51.181947,
De Luysen,1,PQ4,,,
De Luysen,1,PQ4,,,
De Luysen,1,PQ4,,,
De Luysen,2,PQ1,5.662866,51.179949,
De Luysen,2,PQ1,,,
De Luysen,2,PQ1,,,
De Luysen,2,PQ1,,,
De Luysen,2,PQ2,5.660793,51.180537,
De Luysen,2,PQ2,,,
De Luysen,2,PQ2,,,
De Luysen,2,PQ2,,,
De Luysen,2,PQ3,5.659929,51.182033,
De Luysen,2,PQ3,,,
De Luysen,2,PQ3,,,
De Luysen,2,PQ3,,,
De Luysen,2,PQ4,5.659839,51.183904,
De Luysen,2,PQ4,,,
De Luysen,2,PQ4,,,
De Luysen,2,PQ4,,,
Sint-Laureins,1,PQ1,3.534965,51.254378,
Sint-Laureins,1,PQ1,,,
Sint-Laureins,1,PQ1,,,
Sint-Laureins,1,PQ1,,,
Sint-Laureins,1,PQ2,3.538817,51.25388,
Sint-Laureins,1,PQ2,,,
Sint-Laureins,1,PQ2,,,
Sint-Laureins,1,PQ2,,,
Sint-Laureins,1,PQ3,3.540106,51.256245,
Sint-Laureins,1,PQ3,,,
Sint-Laureins,1,PQ3,,,
Sint-Laureins,1,PQ3,,,
Sint-Laureins,1,PQ4,3.541507,51.258548,
Sint-Laureins,1,PQ4,,,
Sint-Laureins,1,PQ4,,,
Sint-Laureins,1,PQ4,,,
Sint-Laureins,2,PQ1,3.532733,51.268383,
Sint-Laureins,2,PQ1,,,
Sint-Laureins,2,PQ1,,,
Sint-Laureins,2,PQ1,,,
Sint-Laureins,2,PQ2,3.530265,51.267862,
Sint-Laureins,2,PQ2,,,
Sint-Laureins,2,PQ2,,,
Sint-Laureins,2,PQ2,,,
Sint-Laureins,2,PQ3,3.52997,51.267237,
Sint-Laureins,2,PQ3,,,
Sint-Laureins,2,PQ3,,,
Sint-Laureins,2,PQ3,,,
Sint-Laureins,2,PQ4,3.534114,51.265263,
Sint-Laureins,2,PQ4,,,
Sint-Laureins,2,PQ4,,,
Sint-Laureins,2,PQ4,,,