Locatie,Transect,Stop,Long,Lat,Distance_to_previous,,,,,,,,,,,,,,,,,,,,
De Luysen,1,1,5.66492107,51.1783697,,,,,,,,,,,,,,,,,,,,,
De Luysen,1,2,5.666493555,51.17748593,200,,,,,,,,,,,,,,,,,,,,
De Luysen,1,3,5.668439904,51.17836044,200,,,,,,,,,,,,,,,,,,,,
De Luysen,1,4,5.668985811,51.180578,200,,,,,,,,,,,,,,,,,,,,
De Luysen,1,5,5.667483076,51.1819861,200,,,,,,,,,,,,,,,,,,,,
De Luysen,1,6,5.665691925,51.18243907,200,,,,,,,,,,,,,,,,,,,,
De Luysen,2,1,5.665386997,51.18130513,,,,,,,,,,,,,,,,,,,,,
De Luysen,2,2,5.665100935,51.18007918,100,,,,,,,,,,,,,,,,,,,,
De Luysen,2,3,5.663239083,51.17993872,100,,,,,,,,,,,,,,,,,,,,
De Luysen,2,4,5.660569953,51.18027131,100,,,,,,,,,,,,,,,,,,,,
De Luysen,2,5,5.66014661,51.18100862,100,,,,,,,,,,,,,,,,,,,,
De Luysen,2,6,5.65997952,51.18199228,100,,,,,,,,,,,,,,,,,,,,
De Luysen,2,7,5.658832299,51.18338679,200,,,,,,,,,,,,,,,,,,,,
De Luysen,2,8,5.658949043,51.18416756,100,,,,,,,,,,,,,,,,,,,,
De Luysen,2,9,5.661255614,51.18368942,200,,,,,,,,,,,,,,,,,,,,
Sint-Laureins,1,1,3.533538897,51.25364219,,,,,,,,,,,,,,,,,,,,,
Sint-Laureins,1,2,3.534493184,51.25457638,100,,,,,,,,,,,,,,,,,,,,
Sint-Laureins,1,3,3.535973996,51.25417973,100,,,,,,,,,,,,,,,,,,,,
Sint-Laureins,1,4,3.537443771,51.25396458,100,,,,,,,,,,,,,,,,,,,,
Sint-Laureins,1,5,3.538614499,51.25370267,100,,,,,,,,,,,,,,,,,,,,
Sint-Laureins,1,6,3.539389218,51.25542345,200,,,,,,,,,,,,,,,,,,,,
Sint-Laureins,1,7,3.539990236,51.25635034,100,,,,,,,,,,,,,,,,,,,,
Sint-Laureins,1,8,3.541018221,51.25762395,200,,,,,,,,,,,,,,,,,,,,
Sint-Laureins,1,9,3.541415066,51.25855680,100,,,,,,,,,,,,,,,,,,,,
Sint-Laureins,2,1,3.535155001,51.26848692,,,,,,,,,,,,,,,,,,,,,
Sint-Laureins,2,2,3.532643412,51.26835358,200,,,,,,,,,,,,,,,,,,,,
Sint-Laureins,2,3,3.530092787,51.26761966,200,,,,,,,,,,,,,,,,,,,,
Sint-Laureins,2,4,3.531478219,51.26621166,200,,,,,,,,,,,,,,,,,,,,
Sint-Laureins,2,5,3.532727550,51.26512287,200,,,,,,,,,,,,,,,,,,,,
Sint-Laureins,2,6,3.534183225,51.26527738,100,,,,,,,,,,,,,,,,,,,,
Sint-Laureins,2,7,3.535907884,51.26545919,100,,,,,,,,,,,,,,,,,,,,