Area,Section,Round,Year,Month,Day,Time,Temperature,Wind  (Bft),Cloud coverage,Precipitation,Species (ger/lat),Species lat,Amount,Mating wheel,Oviposition
Aschauteiche_nord,A,1,2021,6,17,10:55,ca. 30°,2,0,0,Große Pechlibelle (Ischnura elegans),Blue-tailed damselfly (Ischnura elegans),>5,,
Aschauteiche_nord,A,1,2021,6,17,10:55,ca. 30°,2,0,0,Hufeisen- Azurjungfer (Coenagrion puella),Azure damselfly (Coenagrion puella),>3,,
Aschauteiche_nord,A,1,2021,6,17,10:55,ca. 30°,2,0,0,Fledermaus- Azurjungfer (Coenagrion pulchellum),Variable damselfly (Coenagrion pulchellum),1,,
Aschauteiche_nord,A *dragonfly,1,2021,6,17,10:55,ca. 30°,2,0,0,(Blutrote) Heidelibelle,Sympetrum (sanguineum),>2,,
Aschauteiche_nord,A *dragonfly,1,2021,6,17,10:55,ca. 30°,2,0,0,Große Heidelibelle,Sympetrum striolatum,>5,,
Aschauteiche_nord,A,1,2021,6,17,10:55,ca. 30°,2,0,0,Gemeine Binsenjungfer,Lestes sponsa,>10,,
Aschauteiche_nord,B,1,2021,6,17,11:32,ca. 30°,2,0,0,(Gemeine) Binsenjungfer,Lestes (sponsa),>3,,
Aschauteiche_nord,B *dragonfly,1,2021,6,17,11:32,ca. 30°,2,0,0,Großer Blaupfeil,Orthetrum cancellatum,>3,,
Aschauteiche_nord,B,1,2021,6,17,11:32,ca. 30°,2,0,0,(Kleines) Granatauge (Erythromma viridulum),Small red-eyed damselfly (Erythromma viridulum),2,YES,
Aschauteiche_nord,B,1,2021,6,17,11:32,ca. 30°,2,0,0,Hufeisen- Azurjungfer (Coenagrion puella),Azure damselfly (Coenagrion puella),>3,,
Aschauteiche_nord,B *dragonfly,1,2021,6,17,11:32,ca. 30°,2,0,0,(Große/Blutrote) Heidelibelle,Sympetrum,>5,,
Aschauteiche_nord,B,1,2021,6,17,11:32,ca. 30°,2,0,0,(Glänzende) Binsenjungfer,Lestes (dryas),1,,
Aschauteiche_nord,B,1,2021,6,17,11:32,ca. 30°,2,0,0,unknown - IMG_9255+58,,1,,
Aschauteiche_nord,C,1,2021,6,17,11:41,ca. 30°,2,0,0,(Gemeine) Binsenjungfer,Lestes (sponsa),>3,,
Aschauteiche_nord,C *dragonfly,1,2021,6,17,11:41,ca. 30°,2,0,0,Große Heidelibelle,Sympetrum striolatum,1,,
Aschauteiche_nord,C *dragonfly,1,2021,6,17,11:41,ca. 30°,2,0,0,Großer Blaupfeil,Orthetrum cancellatum,2,,
Aschauteiche_nord,D *dragonfly,1,2021,6,17,11:47,ca. 30°,2,0,0,(Große/Blutrote) Heidelibelle,Sympetrum,>3,,
Aschauteiche_nord,D,1,2021,6,17,11:47,ca. 30°,2,0,0,(Glänzende/Gemeine) Binsenjungfer,Lestes (sponsa/dryas),>3,,
Aschauteiche_nord,D *dragonfly,1,2021,6,17,11:47,ca. 30°,2,0,0,Großer Blaupfeil,Orthetrum cancellatum,>2,,
Aschauteiche_nord,E *dragonfly,1,2021,6,17,11:55,ca. 30°,2,0,0,Vierfleck,Libellula quadrimaculata,>3,,
Aschauteiche_nord,E *dragonfly,1,2021,6,17,11:55,ca. 30°,2,0,0,Früher Schilfjäger (Brachytron pratense),Hairy Dragonfly (Brachytron pratense),1,,
Aschauteiche_nord,E *dragonfly,1,2021,6,17,11:55,ca. 30°,2,0,0,Große Heidelibelle,Sympetrum striolatum,1,,
Aschauteiche_nord,A,2,2021,6,25,11:55 beginning ,19,2,2/8,0,Gemeine Binsenjungfer ♂,Lestes sponsa,ca. 30-40,1,
Aschauteiche_nord,A,2,2021,6,25,11:55,19,2,2/8,0,Gemeine Binsenjungfer ♀,Lestes sponsa,5,1,
Aschauteiche_nord,A,2,2021,6,25,11:55,19,2,2/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,3,,
Aschauteiche_nord,A,2,2021,6,25,11:55,19,2,2/8,0,Heidelibelle,Sympetrum,11,,
Aschauteiche_nord,B,2,2021,6,25,11:55,19,2,2/8,0,Gemeine Binsenjungfer ♂,Lestes sponsa,14,,
Aschauteiche_nord,B,2,2021,6,25,11:55,19,2,2/8,0,Gemeine Binsenjungfer ♀,Lestes sponsa,8,,
Aschauteiche_nord,C,2,2021,6,25,11:55,19,2,2/8,0,Gemeine Binsenjungfer ♂,Lestes sponsa,1,,
Aschauteiche_nord,C,2,2021,6,25,11:55,19,2,2/8,0,Gemeine Binsenjungfer ♀,Lestes sponsa,3,,
Aschauteiche_nord,B *dragonfly,2,2021,6,25,11:55,19,2,2/8,0,Heidelibelle,Sympetrum,5,,
Aschauteiche_nord,C,2,2021,6,25,11:55,19,2,2/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,1,,
Aschauteiche_nord,B *dragonfly,2,2021,6,25,11:55,19,2,2/8,0,Großer Blaupfeil,Orthetrum cancellatum,3,,
Aschauteiche_nord,D,2,2021,6,25,11:55,19,2,2/8,0,Gemeine Binsenjungfer ♂,Lestes sponsa,25,,
Aschauteiche_nord,D,2,2021,6,25,11:55,19,2,2/8,0,Gemeine Binsenjungfer ♀,Lestes sponsa,15,,
Aschauteiche_nord,D,2,2021,6,25,11:55,19,2,2/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,4,,
Aschauteiche_nord,E,2,2021,6,25,11:55,19,2,2/8,0,Gemeine Binsenjungfer ♂,Lestes sponsa,7,,
Aschauteiche_nord,E,2,2021,6,25,11:55,19,2,2/8,0,Gemeine Binsenjungfer ♀,Lestes sponsa,25,,
Aschauteiche_nord,C *dragonfly,2,2021,6,25,11:55,19,2,2/8,0,Heidelibelle,Sympetrum,2,,
Aschauteiche_nord,E,2,2021,6,25,11:55,19,2,2/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,4,,
Aschauteiche_nord,C *dragonfly,2,2021,6,25,11:55,19,2,2/8,0,Großer Blaupfeil,Orthetrum cancellatum,2,,
Aschauteiche_nord,C *dragonfly,2,2021,6,25,11:55,19,2,2/8,0,Heidelibelle,Sympetrum,9,,
Aschauteiche_nord,C *dragonfly,2,2021,6,25,11:55,19,2,2/8,0,Großer Blaupfeil,Orthetrum cancellatum,3,,
Aschauteiche_nord,D *dragonfly,2,2021,6,25,11:55,19,2,2/8,0,Heidelibelle,Sympetrum,12,,
Aschauteiche_nord,D *dragonfly,2,2021,6,25,11:55,19,2,2/8,0,Großer Blaupfeil,Orthetrum cancellatum,6,,
Aschauteiche_nord,E *dragonfly,2,2021,6,25,11:55,19,2,2/8,0,Heidelibelle,Sympetrum,30,,
Aschauteiche_nord,E *dragonfly,2,2021,6,25,11:55,19,2,2/8,0,Großer Blaupfeil,Orthetrum cancellatum,1,,
Aschauteiche_nord,A,3,2021,7,7,10:40 beginning,20,3,2/8,0,Gemeine Binsenjungfer ♂,Lestes sponsa,80,1,
Aschauteiche_nord,A,3,2021,7,7,10:40,20,3,2/8,0,Gemeine Binsenjungfer ♀,Lestes sponsa,2,1,
Aschauteiche_nord,A,3,2021,7,7,10:40,20,3,2/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,4,,
Aschauteiche_nord,A *dragonfly,3,2021,7,7,10:40,20,3,2/8,0,Heidelibelle,Sympetrum,14,,
Aschauteiche_nord,A *dragonfly,3,2021,7,7,10:40,20,3,2/8,0,Großer Blaupfeil,Orthetrum cancellatum,1,,
Aschauteiche_nord,B,3,2021,7,7,10:40,20,3,2/8,0,Gemeine Binsenjungfer ♂,Lestes sponsa,37,,
Aschauteiche_nord,B,3,2021,7,7,10:40,20,3,2/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,1,,
Aschauteiche_nord,B,3,2021,7,7,10:40,20,3,2/8,0,Hufeisen- Azurjungfer (Coenagrion puella),Coenagrion puella,2,,
Aschauteiche_nord,C,3,2021,7,7,10:40,20,3,2/8,0,Gemeine Binsenjungfer ♂,Lestes sponsa,25,,
Aschauteiche_nord,C,3,2021,7,7,10:40,20,3,2/8,0,Gemeine Binsenjungfer ♀,Lestes sponsa,8,,
Aschauteiche_nord,B *dragonfly,3,2021,7,7,10:40,20,3,2/8,0,Heidelibelle,Sympetrum,16,,
Aschauteiche_nord,B *dragonfly,3,2021,7,7,10:40,20,3,2/8,0,Großer Blaupfeil,Orthetrum cancellatum,2,,
Aschauteiche_nord,D,3,2021,7,7,10:40,20,3,2/8,0,Gemeine Binsenjungfer ♂,Lestes sponsa,15,,
Aschauteiche_nord,D,3,2021,7,7,10:40,20,3,2/8,0,Gemeine Binsenjungfer ♀,Lestes sponsa,10,,
Aschauteiche_nord,D,3,2021,7,7,10:40,20,3,2/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,1,,
Aschauteiche_nord,E,3,2021,7,7,10:40,20,3,2/8,0,Gemeine Binsenjungfer ♂,Lestes sponsa,19,,
Aschauteiche_nord,E,3,2021,7,7,10:40,20,3,2/8,0,Gemeine Binsenjungfer ♀,Lestes sponsa,5,,
Aschauteiche_nord,C *dragonfly,3,2021,7,7,10:40,20,3,2/8,0,Heidelibelle,Sympetrum,16,1,
Aschauteiche_nord,C *dragonfly,3,2021,7,7,10:40,20,3,2/8,0,Großer Blaupfeil,Orthetrum cancellatum,2,,
Aschauteiche_nord,D *dragonfly,3,2021,7,7,10:40,20,3,2/8,0,Heidelibelle,Sympetrum,14,,
Aschauteiche_nord,E *dragonfly,3,2021,7,7,10:40,20,3,2/8,0,Heidelibelle,Sympetrum,32,3,
Aschauteiche_nord,E *dragonfly,3,2021,7,7,10:40,20,3,2/8,0,Großer Blaupfeil,Orthetrum cancellatum,2,,
Aschauteiche_nord,A,4,2021,7,15,10:20 beginning ,22,1,2/8,0,Gemeine Binsenjungfer ♂,Lestes sponsa,47,4,
Aschauteiche_nord,A,4,2021,7,15,10:20,22,1,2/8,0,Gemeine Binsenjungfer ♀,Lestes sponsa,4,4,
Aschauteiche_nord,A,4,2021,7,15,10:20,22,1,2/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,2,,
Aschauteiche_nord,A,4,2021,7,15,10:20,22,1,2/8,0,Heidelibelle,Sympetrum,5,,
Aschauteiche_nord,B,4,2021,7,15,10:20,22,1,2/8,0,Gemeine Binsenjungfer ♂,Lestes sponsa,15,,
Aschauteiche_nord,B,4,2021,7,15,10:20,22,1,2/8,0,Gemeine Binsenjungfer ♀,Lestes sponsa,5,,
Aschauteiche_nord,B,4,2021,7,15,10:20,22,1,2/8,0,Heidelibelle,Sympetrum,4,,
Aschauteiche_nord,A*dragonfly,4,2021,7,15,10:20,22,1,2/8,0,Großer Blaupfeil,Orthetrum cancellatum,1,,
Aschauteiche_nord,C,4,2021,7,15,10:20,22,1,2/8,0,Gemeine Binsenjungfer ♂,Lestes sponsa,65,4,
Aschauteiche_nord,C,4,2021,7,15,10:20,22,1,2/8,0,Gemeine Binsenjungfer ♀,Lestes sponsa,7,4,
Aschauteiche_nord,C,4,2021,7,15,10:20,22,1,2/8,0,Große Pechlibelle (Ischnura elegans), Ischnura elegans,3,,
Aschauteiche_nord,B*dragonfly,4,2021,7,15,10:20,22,1,2/8,0,Heidelibelle,Sympetrum,18,1,
Aschauteiche_nord,B*dragonfly,4,2021,7,15,10:20,22,1,2/8,0,Großer Blaupfeil,Orthetrum cancellatum,2,0,
Aschauteiche_nord,D,4,2021,7,15,10:20,22,1,2/8,0,Gemeine Binsenjungfer ♂,Lestes sponsa,31,4,
Aschauteiche_nord,D,4,2021,7,15,10:20,22,1,2/8,0,Gemeine Binsenjungfer ♀,Lestes sponsa,2,4,
Aschauteiche_nord,E,4,2021,7,15,10:20,22,1,2/8,0,Gemeine Binsenjungfer ♂,Lestes sponsa,32,3,
Aschauteiche_nord,E,4,2021,7,15,10:20,22,1,2/8,0,Gemeine Binsenjungfer ♀,Lestes sponsa,3,3,
Aschauteiche_nord,C *dragonfly,4,2021,7,15,10:20,22,1,2/8,0,Heidelibelle,Sympetrum,31,2,
Aschauteiche_nord,C *dragonfly,4,2021,7,15,10:20,22,1,2/8,0,Großer Blaupfeil,Orthetrum cancellatum,1,,
Aschauteiche_nord,D*dragonfly,4,2021,7,15,10:20,22,1,2/8,0,Heidelibelle,Sympetrum,10,3,
Aschauteiche_nord,D*dragonfly,4,2021,7,15,10:20,22,1,2/8,0,Großer Blaupfeil,Orthetrum cancellatum,1,,
Aschauteiche_nord,E*dragonfly,4,2021,7,15,10:20,22,1,2/8,0,Heidelibelle,Sympetrum,14,3,
DS1 (am Randkanal),A,1,2021,5,29,13:30,19,2,1/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,2,,
DS1 (am Randkanal),B,1,2021,5,29,13:45,19,2,1/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,9,,
DS1 (am Randkanal),C,1,2021,5,29,14:00,19,2,1/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,5,,
DS1 (am Randkanal),D,1,2021,5,29,14:15,19,2,1/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,3,,
DS1 (am Randkanal),E,1,2021,5,29,14:30,19,2,1/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,2,,
DS1 (am Randkanal),A,2,2021,6,23,14:00,20,2,2/8,0,Gemeine Becherjungfer (Enallagma cyathigerum),Enallagma cyathigerum,3,,
DS1 (am Randkanal),B,2,2021,6,23,14:15,20,2,2/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,5,,
DS1 (am Randkanal),B,2,2021,6,23,14:15,20,2,2/8,0,Blaue Federlibelle (Platycnemis pennipes),Platycnemis pennipes,2,,
DS1 (am Randkanal),B,2,2021,6,23,14:15,20,2,2/8,0,Calopteryx splendens,Calopteryx splendens,1,,
DS1 (am Randkanal),B,2,2021,6,23,14:15,20,2,2/8,0,Hufeisen- Azurjungfer (Coenagrion puella),Coenagrion puella,2,,
DS1 (am Randkanal),C,2,2021,6,23,14:30,20,2,2/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,15,yes,
DS1 (am Randkanal),C,2,2021,6,23,14:30,20,2,2/8,0,Blaue Federlibelle (Platycnemis pennipes),Platycnemis pennipes,6,yes,
DS1 (am Randkanal),C,2,2021,6,23,14:30,20,2,2/8,0,Calopteryx splendens,Calopteryx splendens,4,,
DS1 (am Randkanal),B*dragonfly,2,2021,6,23,15:45,20,2,2/8,0,Sympetrum vulgatum,Sympetrum vulgatum,1,,
DS1 (am Randkanal),D,2,2021,6,23,14:45,20,2,2/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,10,yes,
DS1 (am Randkanal),D,2,2021,6,23,14:45,20,2,2/8,0,Blaue Federlibelle (Platycnemis pennipes),Platycnemis pennipes,3,yes,
DS1 (am Randkanal),D,2,2021,6,23,14:45,20,2,2/8,0,Calopteryx splendens,Calopteryx splendens,2,,
DS1 (am Randkanal),E,2,2021,6,23,15:00,20,2,2/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,8,yes,
DS1 (am Randkanal),C *dragonfly,2,2021,6,23,15:30,20,2,2/8,0,Sympetrum vulgatum,Sympetrum vulgatum,1,,
DS1 (am Randkanal),C *dragonfly,2,2021,6,23,15:30,20,2,2/8,0,Libellula depressa,Libellula depressa,1,,
DS1 (am Randkanal),A,3,2021,7,28,12:30,25,2,2/8,0,Gemeine Becherjungfer (Enallagma cyathigerum),Enallagma cyathigerum,1,,
DS1 (am Randkanal),A,3,2021,7,28,12:30,25,2,2/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,1,,
DS1 (am Randkanal),A,3,2021,7,28,12:30,25,2,2/8,0,Blaue Federlibelle (Platycnemis pennipes),Platycnemis pennipes,2,,
DS1 (am Randkanal),A*dragonfly,3,2021,7,28,12:30,25,2,2/8,0,Anax imperator,Anax imperator,1,,
DS1 (am Randkanal),A*dragonfly,3,2021,7,28,12:30,25,2,2/8,0,Orthetrum cancellatum,Orthetrum cancellatum,2,,
DS1 (am Randkanal),B,3,2021,7,28,12:45,25,2,2/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,1,,
DS1 (am Randkanal),B,3,2021,7,28,12:45,25,2,2/8,0,Hufeisen- Azurjungfer (Coenagrion puella),Coenagrion puella,2,,
DS1 (am Randkanal),C,3,2021,7,28,13:00,25,2,2/8,0,Calopteryx splendens,Calopteryx splendens,1,,
DS1 (am Randkanal),C,3,2021,7,28,13:00,25,2,2/8,0,Hufeisen- Azurjungfer (Coenagrion puella),Coenagrion puella,2,,
DS1 (am Randkanal),B*dragonfly,3,2021,7,28,12:45,25,2,2/8,0,Anax imperator,Anax imperator,1,,
DS1 (am Randkanal),B*dragonfly,3,2021,7,28,12:45,25,2,2/8,0,Orthetrum cancellatum,Orthetrum cancellatum,1,,
DS1 (am Randkanal),D,3,2021,7,28,13:15,25,2,2/8,0,Hufeisen- Azurjungfer (Coenagrion puella),Coenagrion puella,1,,
DS1 (am Randkanal),E,3,2021,7,28,13:30,25,2,2/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,1,,
DS1 (am Randkanal),E,3,2021,7,28,13:30,25,2,2/8,0,Blaue Federlibelle (Platycnemis pennipes),Platycnemis pennipes,1,,
DS1 (am Randkanal),E,3,2021,7,28,13:30,25,2,2/8,0,Hufeisen- Azurjungfer (Coenagrion puella),Coenagrion puella,1,,
DS1 (am Randkanal),C *dragonfly,3,2021,7,28,13:00,25,2,2/8,0,Anax imperator,Anax imperator,1,,
DS1 (am Randkanal),C *dragonfly,3,2021,7,28,13:00,25,2,2/8,0,Orthetrum cancellatum,Orthetrum cancellatum,2,,
DS1 (am Randkanal),D*dragonfly,3,2021,7,28,13:15,25,2,2/8,0,Orthetrum cancellatum,Orthetrum cancellatum,1,,
DS1 (am Randkanal),E*dragonfly,3,2021,7,28,13:30,25,2,2/8,0,Sympetrum spec.,Sympetrum spec.,1,,
DS1 (am Randkanal),A,4,2021,8,21,16:30,24,1,1/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,3,,
DS1 (am Randkanal),A*dragonfly,4,2021,8,21,15:55,24,1,1/8,0,Sympetrum spec.,Sympetrum spec.,1,,
DS1 (am Randkanal),B,4,2021,8,21,16:15,24,1,1/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,3,,
DS1 (am Randkanal),C,4,2021,8,21,16:00,24,1,1/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,8,yes,
DS1 (am Randkanal),C,4,2021,8,21,16:00,24,1,1/8,0,Calopteryx splendens,Calopteryx splendens,1,,
DS1 (am Randkanal),D,4,2021,8,21,15:45,24,1,1/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,12,yes,
DS1 (am Randkanal),D,4,2021,8,21,15:45,24,1,1/8,0,Lestes viridis,Lestes viridis,2,,
DS1 (am Randkanal),E,4,2021,8,21,15:30,24,1,1/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,12,yes,
DS1 (am Randkanal),D*dragonfly,4,2021,8,21,15:15,24,1,1/8,0,Sympetrum spec.,Sympetrum spec.,1,,
DS1 (am Randkanal),D*dragonfly,4,2021,8,21,15:15,24,1,1/8,0,Orthetrum cancellatum,Orthetrum cancellatum,1,,
DS2 (an der Hunte),A,1,2021,5,29,13:00,19,2,1/8,0,Calopteryx splendens,Calopteryx splendens,1,,
DS2 (an der Hunte),A,1,2021,5,29,13:00,19,2,1/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,7,,
DS2 (an der Hunte),B,1,2021,5,29,12:45,19,2,1/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,4,,
DS2 (an der Hunte),C,1,2021,5,29,12:30,19,2,1/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,4,,
DS2 (an der Hunte),C,1,2021,5,29,12:30,19,2,1/8,0,Hufeisen- Azurjungfer (Coenagrion puella),Coenagrion puella,3,,
DS2 (an der Hunte),C,1,2021,5,29,12:30,19,2,1/8,0,Pyrrhosomma nymphula,Pyrrhosomma nymphula,1,,
DS2 (an der Hunte),D,1,2021,5,29,12:15,19,2,1/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,5,,
DS2 (an der Hunte),E,1,2021,5,29,12:00,19,2,1/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,7,,
DS2 (an der Hunte),A,2,2021,6,23,16:00,20,2,2/8,0,Hufeisen- Azurjungfer (Coenagrion puella),Coenagrion puella,6,,
DS2 (an der Hunte),A,2,2021,6,23,16:00,20,2,2/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,10,yes,
DS2 (an der Hunte),A,2,2021,6,23,16:00,20,2,2/8,0,Calopteryx splendens,Calopteryx splendens,2,,
DS2 (an der Hunte),A,2,2021,6,23,16:00,20,2,2/8,0,Blaue Federlibelle (Platycnemis pennipes),Platycnemis pennipes,1,,
DS2 (an der Hunte),B,2,2021,6,23,16:15,20,2,2/8,0,Hufeisen- Azurjungfer (Coenagrion puella),Coenagrion puella,5,,
DS2 (an der Hunte),B,2,2021,6,23,16:15,20,2,2/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,8,yes,
DS2 (an der Hunte),B,2,2021,6,23,16:15,20,2,2/8,0,Calopteryx splendens,Calopteryx splendens,4,,
DS2 (an der Hunte),C,2,2021,6,23,16:30,20,2,2/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,10,yes,
DS2 (an der Hunte),B*dragonfly,2,2021,6,23,16:45,20,2,2/8,0,Orthetrum cancellatum,Orthetrum cancellatum,1,,
DS2 (an der Hunte),D,2,2021,6,23,16:40,20,2,2/8,0,Hufeisen- Azurjungfer (Coenagrion puella),Coenagrion puella,5,,
DS2 (an der Hunte),D,2,2021,6,23,16:40,20,2,2/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,2,,
DS2 (an der Hunte),E,2,2021,6,23,16:55,20,2,2/8,0,Hufeisen- Azurjungfer (Coenagrion puella),Coenagrion puella,4,,
DS2 (an der Hunte),E,2,2021,6,23,16:55,20,2,2/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,8,yes,
DS2 (an der Hunte),E,2,2021,6,23,16:55,20,2,2/8,0,Calopteryx splendens,Calopteryx splendens,1,,
DS2 (an der Hunte),E*dragonfly,2,2021,6,23,17:30,20,2,2/8,0,Orthetrum cancellatum,Orthetrum cancellatum,1,,
DS2 (an der Hunte),A,3,2021,7,28,15:30,25,2,2/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,29,yes,yes
DS2 (an der Hunte),A,3,2021,7,28,15:30,25,2,2/8,0,Calopteryx splendens,Calopteryx splendens,2,,
DS2 (an der Hunte),A,3,2021,7,28,15:30,25,2,2/8,0,Kleines Granatauge (Erythromma viridulum),Erythromma viridulum,4,,yes
DS2 (an der Hunte),A*dragonfly,3,2021,7,28,15:35,25,2,2/8,0,Orthetrum cancellatum,Orthetrum cancellatum,3,1,
DS2 (an der Hunte),B,3,2021,7,28,15:15,25,2,2/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,10,yes,yes
DS2 (an der Hunte),B,3,2021,7,28,15:15,25,2,2/8,0,Calopteryx splendens,Calopteryx splendens,1,,
DS2 (an der Hunte),C,3,2021,7,28,15:00,25,2,2/8,0,Große Pechlibelle (Ischnura elegans),Ischnura elegans,29,yes,yes
