"","x"
"1","Acer pseudoplatanus"
"2","Acrocephalus"
"3","Aeshna grandis"
"4","Aeshna mixta"
"5","Agrostis canina"
"6","Ardea alba"
"7","Athya ferina"
"8","Betula pendula"
"9","Betula pubescens"
"10","Bidens cernua"
"11","Bolboschoenus maritimus"
"12","Bruine glazenmaker"
"13","Bruine kiekendief"
"14","Calamagrostis canescens"
"15","Carex acutiformis"
"16","Carex cuprina"
"17","Carex paniculata"
"18","Carex pseudocyperus"
"19","Carex riparia"
"20","Chilidonias niger"
"21","Ciconia ciconia"
"22","Conyza canadensis"
"23","Dactylis glomerata"
"24","Elatine hexandra"
"25","Eleocharis acicularis"
"26","Elytrigia repens"
"27","Epilobium hirsutum"
"28","Erithacus rubecula"
"29","Eupatorium cannabinum"
"30","Falco tinnunculus"
"31","Galeopsis bifida"
"32","Galium aparine"
"33","Glechoma hederacea"
"34","Hydrocotyle tripartita"
"35","Juncus acutiflorus"
"36","Lapsana communis"
"37","Lotus pedunculatus"
"38","Ludwigia grandiflora"
"39","Lysimachia thyrsiflora"
"40","Lysimachia vulgaris"
"41","Lythrum salicaria"
"42","Mareca strepera"
"43","Motacilla citreola"
"44","Myosotis laxa"
"45","Oenanthe aquatica"
"46","Persicaria hydropiper"
"47","Peucedanum palustre"
"48","Populus Ã—canadensis"
"49","Prunus avium"
"50","Pyrrhosomma nymphula"
"51","Ranunculus repens"
"52","Ranunculus sceleratus"
"53","Rubus caesius"
"54","Rubus fruticosus"
"55","Rumex hydrolapathum"
"56","Salix alba"
"57","Salix cinerea"
"58","Salix fragilis"
"59","Saxicola rubicola"
"60","Schoeniclus schoeniclus"
"61","Scirpoides holoschoenus"
"62","Somatochlora metallica"
"63","Spatula clypeataI"
"64","Sterna hirundo"
"65","Sylvia curruca"
"66","Sympetrum"
"67","Symphytum officinale"
"68","Torilis japonica"
"69","Waterlelie SP"
"70",NA
